Game #,Home Player,Away Player,Faction 1,Mat 1,Combo Bid 1,Faction 2,Mat 2,Combo Bid 2,Player on Combo 1,Player on Combo 2,Match Winner,Match Loser,score combo 1,score combo 2,# rounds
1,FOMOF,JoyDivision,Crimea,Militant,10,Polania,Innovative,0,JoyDivision,FOMOF,JoyDivision,FOMOF,99,68,22
2,JoyDivision,FOMOF,Saxony,Patriotic,0,Rusviet,Agricultural,8,JoyDivision,FOMOF,FOMOF,JoyDivision,84,56,22
3,JoyDivision,Dzordz,Polania,Industrial,0,Rusviet,Engineering,5,Dzordz,JoyDivision,JoyDivision,Dzordz,119,90,26
4,FibausmHochhaus,JoyDivision,Togawa,Engineering,0,Nordic,Agricultural,6,FibausmHochhaus,JoyDivision,JoyDivision,FibausmHochhaus,44,75,18
5,FibausmHochhaus,Nevic,Polania,Patriotic,7,Rusviet,Mechanical,0,FibausmHochhaus,Nevic,FibausmHochhaus,Nevic,57,49,20
6,dAy,Nevic,Polania,Agricultural,8,Nordic,Engineering,0,dAy,Nevic,dAy,Nevic,80,24,19
7,Nevic,FibausmHochhaus,Albion,Industrial,0,Crimea,Engineering,10,Nevic,FibausmHochhaus,Nevic,FibausmHochhaus,73,44,18
8,Nevic,dAy,Albion,Industrial,0,Crimea,Engineering,7,Nevic,dAy,Nevic,dAy,70,52,27
9,dAy,Dzordz,Polania,Agricultural,9,Nordic,Engineering,0,dAy,Dzordz,dAy,Dzordz,57,29,17
10,Nevic,dAy,Togawa,Industrial,0,Crimea,Agricultural,10,Nevic,dAy,Nevic,dAy,45,46,22
11,dAy,Nevic,Nordic,Innovative,0,Polania,Militant,0,dAy,Nevic,Nevic,dAy,64,76,21
12,Dzordz,JoyDivision,Saxony,Militant,0,Polania,Innovative,10,Dzordz,JoyDivision,JoyDivision,Dzordz,67,111,21
13,JoyDivision,Dzordz,Togawa,Industrial,8,Albion,Engineering,0,Dzordz,JoyDivision,JoyDivision,Dzordz,33,55,17
14,Dzordz,JoyDivision,Crimea,Industrial,0,Polania,Innovative,0,JoyDivision,Dzordz,JoyDivision,Dzordz,60,28,14
15,dAy,FibausmHochhaus,Polania,Agricultural,10,Nordic,Agricultural,0,dAy,FibausmHochhaus,dAy,FibausmHochhaus,59,33,
16,Nevic,FOMOF,Albion,Industrial,0,Crimea,Engineering,8,Nevic,FOMOF,FOMOF,Nevic,37,50,15
17,dAy,FibausmHochhaus,Polania,Militant,0,Nordic,Innovative,0,FibausmHochhaus,dAy,dAy,FibausmHochhaus,33,52,18
18,dAy,FOMOF,Polania,Agricultural,11,Nordic,Engineering,0,dAy,FOMOF,FOMOF,dAy,36,50,23
19,FOMOF,Dzordz,Polania,Industrial,7,Saxony,Militant,0,FOMOF,Dzordz,FOMOF,Dzordz,,,
20,JoyDivision,Nevic,Polania,Industrial,6,Rusviet,Engineering,0,Nevic,JoyDivision,Nevic,JoyDivision,53,30,15
21,FibausmHochhaus,JoyDivision,Saxony,Industrial,0,Polania,Patriotic,8,JoyDivision,FibausmHochhaus,JoyDivision,FibausmHochhaus,66,28,15
22,dAy,JoyDivision,Polania,Mechanical,0,Nordic,Agricultural,0,dAy,JoyDivision,dAy,JoyDivision,63,55,
23,FibausmHochhaus,dAy,Nordic,Patriotic,0,Rusviet,Militant,5,FibausmHochhaus,dAy,FibausmHochhaus,dAy,71,75,22
