Game #	Home Player	Away Player	Faction 1	Mat 1	Player on Combo 1	Raw Score Combo 1	Combo Bid	Reset Bid	Total Score Combo 1	Faction 2	Mat 2	Player on Combo 2	Raw Score Combo 2	Combo Bid	Reset Bid	Total Score Combo 2	Game Winner	Game Loser
1	Zottelschratz	Winteriscoming	Nordic	Innovative	Zottelschratz	43			38	Saxony	Engineering	Winteriscoming	41			41	Winteriscoming	Zottelschratz
2	Zottelschratz	Winteriscoming	Nordic	Innovative	Winteriscoming	71			64	Saxony	Engineering	Zottelschratz	76			76	Zottelschratz	Winteriscoming
3	dAy	releasethecralkin	Nordic	Innovative	dAy	80		2	75	Saxony	Engineering	releasethecralkin	91		2	89	releasethecralkin	dAy
4	dAy	releasethecralkin	Nordic	Innovative	releasethecralkin	38			33	Saxony	Engineering	dAy	52			52	dAy	releasethecralkin
5	JoyDivision	Nevic	Nordic	Innovative	Nevic	48			43	Saxony	Engineering	JoyDivision	58			58	JoyDivision	Nevic
6	JoyDivision	Nevic	Nordic	Innovative	JoyDivision	100			95	Saxony	Engineering	Nevic	96			96	Nevic	JoyDivision
7	Nevic	dAy	Polania	Mechanical	Nevic	38			38	Rusviet	Agricultural	dAy	53			53	dAy	Nevic
8	Nevic	dAy	Polania	Mechanical	dAy	59		2	57	Rusviet	Agricultural	Nevic	71		2	69	Nevic	dAy
9	releasethecralkin	Zottelschratz	Polania	Mechanical	Zottelschratz	53			51	Rusviet	Agricultural	releasethecralkin	67			67	releasethecralkin	Zottelschratz
10	releasethecralkin	Zottelschratz	Polania	Mechanical	releasethecralkin	60			60	Rusviet	Agricultural	Zottelschratz	61			61	Zottelschratz	releasethecralkin
11	JoyDivision	releasethecralkin	Polania	Mechanical	JoyDivision	55			55	Rusviet	Agricultural	releasethecralkin	31			31	JoyDivision	releasethecralkin
12	JoyDivision	releasethecralkin	Polania	Mechanical	releasethecralkin	50			50	Rusviet	Agricultural	JoyDivision	58			58	JoyDivision	releasethecralkin
13	JoyDivision	Winteriscoming	Polania	Patriotic	JoyDivision	90		2	90	Saxony	Industrial	Winteriscoming	47		2	45	JoyDivision	Winteriscoming
14	JoyDivision	Winteriscoming	Polania	Patriotic	Winteriscoming	57			57	Saxony	Industrial	JoyDivision	42			42	Winteriscoming	JoyDivision
15	Nevic	releasethecralkin	Polania	Patriotic	Nevic	83			83	Saxony	Industrial	releasethecralkin	100			100	releasethecralkin	Nevic
16	Nevic	releasethecralkin	Polania	Patriotic	releasethecralkin	42			42	Saxony	Industrial	Nevic	71			71	Nevic	releasethecralkin
17	Zottelschratz	JoyDivision	Polania	Patriotic	JoyDivision	55		2	55	Saxony	Industrial	Zottelschratz	60		2	58	Zottelschratz	JoyDivision
18	Zottelschratz	JoyDivision	Polania	Patriotic	Zottelschratz	54			54	Saxony	Industrial	JoyDivision	45			45	Zottelschratz	JoyDivision
19	Winteriscoming	Nevic	Nordic	Patriotic	Winteriscoming	82			82	Rusviet	Militant	Nevic	76			76	Winteriscoming	Nevic
20	Winteriscoming	Nevic	Nordic	Patriotic	Nevic	56			56	Rusviet	Militant	Winteriscoming	63			63	Winteriscoming	Nevic
