Match #	Home Player	Away Player	Faction 1	Mat 1	Faction 2	Mat 2	Player on Combo 1	Player on Combo 2	Match Winner	Match Loser	score combo 1	score combo 2	# rounds
1	Zottelschratz	JoyDivision	Polania	Industrial	Rusviet	Engineering	Zottelschratz	JoyDivision	Zottelschratz	JoyDivision	80	47	18
2	JoyDivision	Zottelschratz	Albion	Engineering	Togawa	Militant	Zottelschratz	JoyDivision	Zottelschratz	JoyDivision	74	71	26
3	releasethecralkin	JoyDivision	Polania	Militant	Crimea	Innovative	JoyDivision	releasethecralkin	JoyDivision	releasethecralkin	104	101	24
4	JoyDivision	releasethecralkin	Crimea	Industrial	Saxony	Innovative	JoyDivision	releasethecralkin	releasethecralkin	JoyDivision			
5	releasethecralkin	JoyDivision	Polania	Militant	Crimea	Innovative	releasethecralkin	JoyDivision	releasethecralkin	JoyDivision			
6	JoyDivision	releasethecralkin	Rusviet	Mechanical	Crimea	Engineering	JoyDivision	releasethecralkin	JoyDivision	releasethecralkin			
7	releasethecralkin	dAyKiLLeR	Crimea	Innovative	Polania	Militant	dAyKiLLeR	releasethecralkin	dAyKiLLeR	releasethecralkin	56	33	
8	dAyKiLLeR	releasethecralkin	Nordic	Patriotic	Polania	Agricultural	releasethecralkin	dAyKiLLeR	releasethecralkin	dAyKiLLeR	66	28	25
9	Zottelschratz	Bulldogcoma	Saxony	Innovative	Crimea	Industrial	Bulldogcoma	Zottelschratz	Zottelschratz	Bulldogcoma	42	67	17
10	Bulldogcoma	Zottelschratz	Nordic	Agricultural	Saxony	Engineering	Zottelschratz	Bulldogcoma	Bulldogcoma	Zottelschratz	48	42	17
11	Zottelschratz	Bulldogcoma	Polania	Industrial	Rusviet	Engineering	Zottelschratz	Bulldogcoma	Zottelschratz	Bulldogcoma	87	58	23
12	releasethecralkin	nobadinohz	Polania	Militant	Crimea	Innovative	releasethecralkin	nobadinohz	releasethecralkin	nobadinohz	58	46	19
13	nobadinohz	releasethecralkin	Polania	Militant	Crimea	Innovative	releasethecralkin	nobadinohz	releasethecralkin	nobadinohz	91	87	26
14	releasethecralkin	Nevic	Polania	Militant	Crimea	Innovative	releasethecralkin	Nevic	releasethecralkin	Nevic	71	55	19
15	Nevic	releasethecralkin	Albion	Patriotic	Saxony	Militant	Nevic	releasethecralkin	Nevic	releasethecralkin	65	63	20
16	nobadinohz	Bulldogcoma	Polania	Mechanical	Nordic	Patriotic	nobadinohz	Bulldogcoma	Bulldogcoma	nobadinohz	53	33	20
17	Bulldogcoma	nobadinohz	Saxony	Engineering	Nordic	Agricultural	Bulldogcoma	nobadinohz	Bulldogcoma	nobadinohz	53	47	20
18	Bulldogcoma	Zottelschratz	Crimea	Industrial	Nordic	Patriotic	Zottelschratz	Bulldogcoma	Zottelschratz	Bulldogcoma	44	43	23
19	Nevic	Bulldogcoma	Albion	Patriotic	Saxony	Militant	Nevic	Bulldogcoma	Nevic	Bulldogcoma	63	57	22
20	releasethecralkin	Zottelschratz	Crimea	Innovative	Polania	Militant	releasethecralkin	Zottelschratz	Zottelschratz	releasethecralkin	67	52	16
21	Zottelschratz	releasethecralkin	Polania	Industrial	Rusviet	Engineering	Zottelschratz	releasethecralkin	Zottelschratz	releasethecralkin	120	85	23
22	dAyKiLLeR	Nevic	Rusviet	Agricultural	Polania	Mechanical	dAyKiLLeR	Nevic	dAyKiLLeR	Nevic	61	43	17
23	Nevic	dAyKiLLeR	Rusviet	Mechanical	Crimea	Industrial	Nevic	dAyKiLLeR	dAyKiLLeR	Nevic	40	54	16
24	Nevic	dAyKiLLeR	Albion	Patriotic	Saxony	Militant	Nevic	dAyKiLLeR	dAyKiLLeR	Nevic	50	103	22
25	dAyKiLLeR	Nevic	Polania	Mechanical	Nordic	Patriotic	dAyKiLLeR	Nevic	Nevic	dAyKiLLeR	33	58	20
26	Bulldogcoma	Nevic	Nordic	Agricultural	Saxony	Engineering	Bulldogcoma	Nevic	Nevic	Bulldogcoma	53	62	18
27	releasethecralkin	Nevic	Nordic	Patriotic	Crimea	Mechanical	releasethecralkin	Nevic	releasethecralkin	Nevic			
28	dAyKiLLeR	Zottelschratz	Togawa	Industrial	Nordic	Engineering	Zottelschratz	dAyKiLLeR	dAyKiLLeR	Zottelschratz	39	52	21
29	Zottelschratz	dAyKiLLeR	Polania	Industrial	Rusviet	Engineering	Zottelschratz	dAyKiLLeR	Zottelschratz	dAyKiLLeR	52	33	20
30	Zottelschratz	releasethecralkin	Nordic	Engineering	Togawa	Industrial	releasethecralkin	Zottelschratz	releasethecralkin	Zottelschratz	72	69	21
31	dAyKiLLeR	Zottelschratz	Polania	Mechanical	Rusviet	Agricultural	Zottelschratz	dAyKiLLeR	dAyKiLLeR	Zottelschratz	50	56	18
32	Zottelschratz	dAyKiLLeR	Saxony	Innovative	Crimea	Industrial	dAyKiLLeR	Zottelschratz	dAyKiLLeR	Zottelschratz	47	21	14
33	Bulldogcoma	JoyDivision	Saxony	Engineering	Nordic	Agricultural	JoyDivision	Bulldogcoma	JoyDivision	Bulldogcoma	55	38	21
34	JoyDivision	Bulldogcoma	Nordic	Patriotic	Crimea	Mechanical	Bulldogcoma	JoyDivision	JoyDivision	Bulldogcoma	91	97	28
35	JoyDivision	Bulldogcoma	Polania	Engineering	Crimea	Agricultural	JoyDivision	Bulldogcoma	JoyDivision	Bulldogcoma	81	74	24
36	releasethecralkin	Zottelschratz	Crimea	Mechanical	Nordic	Patriotic	releasethecralkin	Zottelschratz	Zottelschratz	releasethecralkin	83	86	26
37	JoyDivision	Nevic	Saxony	Engineering	Crimea	Mechanical	JoyDivision	Nevic	JoyDivision	Nevic			
38	JoyDivision	Nevic	Saxony	Patriotic	Crimea	Mechanical	Nevic	JoyDivision	JoyDivision	Nevic			
39	Nevic	JoyDivision	Nordic	Patriotic	Polania	Mechanical	JoyDivision	Nevic	JoyDivision	Nevic	50	46	
40	Nevic	Bulldogcoma	Albion	Mechanical	Togawa	Engineering	Nevic	Bulldogcoma	Nevic	Bulldogcoma	92	52	20
41	Bulldogcoma	Nevic	Crimea	Mechanical	Nordic	Patriotic	Bulldogcoma	Nevic	Nevic	Bulldogcoma	62	79	21
42	Nevic	releasethecralkin	Albion	Mechanical	Togawa	Engineering	Nevic	releasethecralkin	Nevic	releasethecralkin	130	69	26
43	releasethecralkin	Bulldogcoma	Crimea	Innovative	Polania	Militant	Bulldogcoma	releasethecralkin	releasethecralkin	Bulldogcoma	72	95	22
44	Bulldogcoma	JoyDivision	Polania	Innovative	Crimea	Industrial	Bulldogcoma	JoyDivision	Bulldogcoma	JoyDivision	74	68	17
45	dAyKiLLeR	Bulldogcoma	Nordic	Engineering	Togawa	Industrial	dAyKiLLeR	Bulldogcoma	dAyKiLLeR	Bulldogcoma	56	46	
46	Bulldogcoma	dAyKiLLeR	Nordic	Patriotic	Crimea	Mechanical	Bulldogcoma	dAyKiLLeR	dAyKiLLeR	Bulldogcoma			
47	dAyKiLLeR	nobadinohz	Nordic	Engineering	Togawa	Industrial	dAyKiLLeR	nobadinohz	dAyKiLLeR	nobadinohz	38	30	16
48	dAyKiLLeR	nobadinohz	Polania	Mechanical	Rusviet	Agricultural	dAyKiLLeR	nobadinohz	dAyKiLLeR	nobadinohz	101	66	22
49	Nevic	Zottelschratz	Togawa	Engineering	Albion	Mechanical	Nevic	Zottelschratz	Zottelschratz	Nevic	48	63	20
50	dAyKiLLeR	Bulldogcoma	Togawa	Industrial	Nordic	Engineering	dAyKiLLeR	Bulldogcoma	dAyKiLLeR	Bulldogcoma			
51	Zottelschratz	Nevic	Rusviet	Engineering	Polania	Industrial	Zottelschratz	Nevic	Nevic	Zottelschratz	34	64	14
52	dAyKiLLeR	releasethecralkin	Rusviet	Agricultural	Polania	Mechanical	dAyKiLLeR	releasethecralkin	dAyKiLLeR	releasethecralkin			
53	Nevic	Zottelschratz	Rusviet	Mechanical	Crimea	Industrial	Nevic	Zottelschratz	Zottelschratz	Nevic	33	60	16
54	dAyKiLLeR	JoyDivision	Rusviet	Agricultural	Polania	Mechanical	JoyDivision	dAyKiLLeR	dAyKiLLeR	JoyDivision			
55	Zottelschratz	Nevic	Nordic	Engineering	Togawa	Industrial	Zottelschratz	Nevic	Nevic	Zottelschratz	48	74	20
56	dAyKiLLeR	JoyDivision	Rusviet	Agricultural	Polania	Mechanical	JoyDivision	dAyKiLLeR	dAyKiLLeR	JoyDivision			
57	Nevic	JoyDivision	Togawa	Industrial	Crimea	Agricultural	Nevic	JoyDivision	JoyDivision	Nevic			
58	Zottelschratz	JoyDivision	Albion	Mechanical	Togawa	Engineering	JoyDivision	Zottelschratz	Zottelschratz	JoyDivision	52	97	27
59	Nevic	nobadinohz	Albion	Mechanical	Togawa	Engineering	Nevic	nobadinohz	nobadinohz	Nevic	42	56	20
60	JoyDivision	Zottelschratz	Rusviet	Militant	Nordic	Patriotic	JoyDivision	Zottelschratz	Zottelschratz	JoyDivision	63	70	19
61	Nevic	nobadinohz	Nordic	Patriotic	Polania	Mechanical	nobadinohz	Nevic	Nevic	nobadinohz	42	44	19
62	JoyDivision	nobadinohz	Rusviet	Militant	Nordic	Patriotic	JoyDivision	nobadinohz	JoyDivision	nobadinohz	129	57	24
63	JoyDivision	nobadinohz	Togawa	Industrial	Crimea	Agricultural	nobadinohz	JoyDivision	JoyDivision	nobadinohz	80	103	22
64	nobadinohz	JoyDivision	Polania	Mechanical	Nordic	Patriotic	nobadinohz	JoyDivision	JoyDivision	nobadinohz	15	42	15
65	nobadinohz	JoyDivision	Togawa	Industrial	Nordic	Engineering	JoyDivision	nobadinohz	JoyDivision	nobadinohz	63	50	25
66	nobadinohz	releasethecralkin	Polania	Industrial	Rusviet	Engineering	nobadinohz	releasethecralkin	nobadinohz	releasethecralkin	89	71	26
67	releasethecralkin	nobadinohz	Crimea	Mechanical	Nordic	Patriotic	releasethecralkin	nobadinohz	releasethecralkin	nobadinohz	103	75	24
